løn;LoenAnsatBetalt
TELMORE;Telmore
FIBIA;Fibia
FRANTECH;Frantech
DUSTIN;Dustin
OVERFØRSEL;LoenGebyrBetalt
AFREGNING TIL TOLD & SKAT;LoenSkatBetalt
proshop;Proshop
Betalingsservice ATP;ATPBetalt
forsikring;AON
punktum;Punktum
DAN CATERING;Dancatering
POLITIKEN;Politiken
NATUR-ENERGI;Naturenergi
OK Plus;OkPlus
Gebyr;GebyrBank
LIDL;LIDL
ALDI;ALDI
Rema;Rema1000
Netto;Netto
Coop;Coop365
 moms ;Resulterende
Dankort OK ;OkPlus
Rente af indestående;Rente
moms;Liabilities:Moms:ResulterendeMoms
VELOCONCEPT;VELOCONCEPT
