"30-12-2025";"30-12-2025";"Gebyr";"-850,50";"353.376,22"
"30-12-2025";"30-12-2025";"OVERFØRSEL";"-31,25";"354.226,72"
"29-12-2025";"29-12-2025";"Løn okt-dec";"-97.998,44";"354.257,97"
"29-12-2025";"29-12-2025";"rodekors.dk, Koebenhavn OE";"-5.000,00";"452.256,41"
"29-12-2025";"29-12-2025";"Team Rynkeby";"-2.500,00";"457.256,41"
"16-12-2025";"16-12-2025";"OVERFØRSEL";"-31,25";"459.756,41"
"16-12-2025";"16-12-2025";"Faktura 202510";"39.975,00";"459.787,66"
"16-12-2025";"16-12-2025";"3 Danmark, Koebenhavn SV";"-420,00";"419.812,66"
"12-12-2025";"12-12-2025";" GITHUB, INC., SAN FRANCISCO beløb omregnet fra -8,06 USD til kurs 647,032050";"-52,15";"420.232,66"
"08-12-2025";"08-12-2025";"Politiken\Mediebyen 3\Aarhus C\ Notanr 15265675340000700569045";"-339,00";"420.284,81"
"26-11-2025";"26-11-2025";"proshop.dk, Hojbjerg";"-3.037,59";"420.623,81"
"20-11-2025";"20-11-2025";"Politiken, Aarhus C Nota nr. 15265675323000911321070";"-339,00";"423.661,40"
"18-11-2025";"18-11-2025";"Gebyr for bestilling af debetkort";"-250,00";"424.000,40"
"18-11-2025";"18-11-2025";"Faktura 202509";"69.290,00";"424.250,40"
"11-11-2025";"11-11-2025";"OVERFØRSEL";"-31,25";"354.960,40"
"03-11-2025";"03-11-2025";"MobilePay køb MobilePay Center for IT, Medico og";"-30,00";"354.991,65"
"03-11-2025";"03-11-2025";"Dankort-køb Telmore A/S Nota CN2190967201";"-559,00";"355.021,65"
"31-10-2025";"31-10-2025";"MobilePay køb MobilePay mytrendyphone";"-227,00";"355.580,65"
"31-10-2025";"31-10-2025";"MobilePay køb MobilePay 3";"-270,00";"355.807,65"
"31-10-2025";"31-10-2025";"Visa/Dankort EUR 7,58 Kurs 754,48 Nota nr. 92376 Hetzner Online GmbH, hetzner.com/";"-57,19";"356.077,65"
"30-10-2025";"30-10-2025";"MobilePay køb MobilePay Center for IT, Medico og";"-40,00";"356.134,84"
"28-10-2025";"28-10-2025";"W*RAWFOODSHOP.DK, SVANGSTA Notanr 55642";"-1.309,94";"356.174,84"
"28-10-2025";"28-10-2025";"PUREPOWER.DK, ROSLEV Notanr 78239";"-513,00";"357.484,78"
"27-10-2025";"27-10-2025";"MobilePay køb MobilePay Center for IT, Medico og";"-42,00";"357.997,78"
